city,name,dba,phone,carrier_type,active_trucks,mailing_address,effective_date,active_no
Abilene,DURANT'S AUTOMOTIVE,NO DATA,3256723320,Tow Truck Company,0,"2501 S 7TH
ABILENE, TX. 79605
",3/18/2006,0000039228
Abilene,JOE CHAVIRA,BIG COUNTRY TRANSMISSION,325 698 1808,Tow Truck Company,2,"165 RUIDOSA AVE
ABILENE, TX. 79605
",1/31/2017,006295357C
Abilene,J FLORES WRECKING ENTERPRISES INC.,FLORES WRECKER & TOWING,325-437-5460,Tow Truck Company,5,"117 E N 7TH
ABILENE, TX. 79601
",4/7/2017,006095374C
Abilene,JOHNNY A. WILSON,ABILENE I-20 WRECKING & USED CARS,3256737515,Tow Truck Company,1,"6405 E HWY 80
ABILENE, TX. 79601
",1/24/2017,005501303C
Abilene,JANNA DEAN,TIMES UP TOWING & RECOVERY,325-513-3374,Tow Truck Company,1,"625  WACKADOO DR
ABILENE, TX. 79602
",4/26/2017,006522633C
Abilene,CODY PHILLIPS,ABILENE WRECKER SERVICE,3255139922,Tow Truck Company,6,"5201 N 1ST ST
ABILENE, TX. 79603
",4/14/2017,006485244C
Abilene,"LONG ADJUSTERS,  LLC",NO DATA,325-690-0090,Tow Truck Company,1,"PO BOX 5632
ABILENE, TX. 79608
",1/22/2016,005063582C
Abilene,DAVID'S AUTO SALVAGE,NO DATA,3256723410,Tow Truck Company,1,"4301 PINE ST
ABILENE, TX. 79601
",7/6/2016,005616754C
Abilene,"BOUNDS,MIKE TOWING & RECOVERY LLC",NO DATA,3256955102,Tow Truck Company,6,"PO BOX 6051
ABILENE, TX. 79608
",3/9/2017,0000031130
Abilene,DANIEL VILLARREAL II,LIL  D TRANSPORTATION,3255182642,Tow Truck Company,3,"2042  VINE ST
ABILENE, TX. 79602
",5/4/2017,006498024C
Abilene,"ARROW FORD, INC.",NO DATA,3256929500,Tow Truck Company - Commercial Carrier,1,"PO BOX 5166
ABILENE, TX. 79608
",7/1/2013,000018389C
Abilene,CTAR INC.,NO DATA,3256928685,Tow Truck Company,7,"907 ENERGY DRIVE
ABILENE, TX. 79602
",12/6/2016,0000039377
Ackerly,*** City Data Not Found ***
Addison,SPEEDWAY TOWING LLC,NO DATA,214-500-8591,Tow Truck Company,4,"4310 WYLIE POST RD STE 201
ADDISON, TX. 75001
",2/28/2017,006522282C
Addison,GOOSEPORT LLC,GOOSENECK TRANSPORTATION,2145329485,Tow Truck Company,1,"15851  DALLAS PKWY STE 600
ADDISON, TX. 75001
",7/11/2017,006469721C
Adrian,*** City Data Not Found ***
Agua Dulce,*** City Data Not Found ***
Alamo,MAX LOGISTICS LLC,NO DATA,9566245938,Tow Truck Company,9,"909 ELLIS AVE
ALAMO, TX. 78516
",2/19/2017,006493712C
Alamo,AT WRECKER SERVICE,NO DATA,9567873300,Tow Truck Company,3,"PO BOX 264
ALAMO, TX. 78516
",7/22/2015,005902437C
Alamo,APOLLO TOWING,NO DATA,9567831500,Tow Truck Company,7,"P O BOX 264
ALAMO, TX. 78516
",9/11/2015,005655088C
Alamo,ROBERTO RENDON,TEXAS AUTO PARTS,9562891397,Tow Truck Company,1,"PO BOX 1000
ALAMO, TX. 78516
",2/4/2015,006494071C
Alamo,R & R TRANSPORTATION,NO DATA,956-461-6733,Tow Truck Company - Commercial Carrier,2,"P O BOX 1039
ALAMO, TX. 78516
",8/15/2008,006407107C
Alamo,BUCANERO TOWING INC,NO DATA,9562748374,Tow Truck Company,1,"410  EL GATO RD
ALAMO, TX. 78516
",4/19/2017,006518391C
Alamo,UNIVERSAL TOWING INC,NO DATA,9567027600,Tow Truck Company - Commercial Carrier,8,"230 FRONTAGE RD
ALAMO, TX. 78516
",12/29/2016,005503383C
Alamo,LUIS JR SALINAS,AALAMO TOWING,9567816551,Tow Truck Company,3,"PO BOX 264
ALAMO, TX. 78516
",2/17/2015,006461166C
Alamo,ALL-WAYS TOWING,NO DATA,9567813058,Tow Truck Company - Commercial Carrier,2,"413 CAMEO CIR
ALAMO, TX. 78516
",9/20/2014,006408698C
Alamo,VALLEY HEAVY EQUIPMENT & USED PARTS LLC,NO DATA,956-781-3500,Tow Truck Company - Commercial Carrier,2,"121 EAST BUSINESS US 83
ALAMO, TX. 78516
",1/5/2015,006415794C
Alamo Heights,*** City Data Not Found ***
Albany,JERRY W STREET,STREETS ALBANY AUTOMOTIVE,325-762-2196,Tow Truck Company - Commercial Carrier,1,"PO BOX 2914
ALBANY, TX. 76430
",1/28/2011,006444403C
Aledo,*** City Data Not Found ***
Alice,TINO'S AUTO MART,NO DATA,3616649362,Tow Truck Company,2,"913 WEST FRONT ST
ALICE, TX. 78332
",1/31/2015,005786695C
Alice,DOUBLE R'S TOWING & RECOVERY,NO DATA,3616643371,Tow Truck Company,6,"PO BOX 3951
ALICE, TX. 78332
",12/8/2016,005064192C
Alice,"BAKER, MIKE AUTO SALES",NO DATA,3616643113,Tow Truck Company,1,"PO  BOX 909
ALICE, TX. 78332
",2/22/2017,005033319C
Alice,COWBOY SALES LLC,STARR TOWING & RECOVERY,3616644499,Tow Truck Company,1,"4495 S US HIGHWAY 281
ALICE, TX. 78332
",5/11/2017,006525055C
Alice,IGNACIO J NUNEZ,NUNEZ USED AUTO PARTS,3616689163,Tow Truck Company - Commercial Carrier,1,"1504 GARZA
ALICE, TX. 78332
",8/2/2011,006449517C
Alice,DANNY'S WRECKER SERVICE INC.,NO DATA,3616681032,Tow Truck Company - Commercial Carrier,8,"915 CECILIA
ALICE, TX. 78332
",7/2/2014,0000037523
Allen,"BULL'S EYE INVESTIGATIONS, LLC","BULL'S EYE INVESTIGATIONS, LLC",9567899252,Tow Truck Company - Commercial Carrier,3,"PO BOX 720204
MCALLEN, TX. 78504
",1/16/2017,006421717C
Allen,HINO BROTHERS LLC,NO DATA,9565711572,Tow Truck Company,1,"8413 SOUTH 10 ST
MCALLEN, TX. 78503
",2/23/2017,006522142C
Allen,LINDA LUNA,LUNA'S TOWING SERVICE,9563834649,Tow Truck Company,2,"1209 E TAMARACK AVE
MCALLEN, TX. 78501
",9/29/2016,006517089C
Allen,A PROFESSIONAL TOWING & RECOVERY,NO DATA,956-687-5151,Tow Truck Company,3,"4116 ZINNIA AVE
MCALLEN, TX. 78504
",10/10/2014,005911847C
Allen,SALAZAR WRECKER SERVICE INC.,NO DATA,956 821-0407,Tow Truck Company,2,"2836 REDWOOD
MCALLEN, TX. 78501
",5/9/2015,006194631C
Allen,FLEX TOWING,FLEX TOWING,4699995107,Tow Truck Company,1,"1927  EDGEHILL DR
ALLEN, TX. 75013
",5/16/2017,006498805C
Allen,J ROBERTS RAMON,J R RAMON & ASSOCIATES,9566879557,Tow Truck Company,2,"2700 S 23RD ST
MCALLEN, TX. 78503
",6/26/2016,006483893C
Allen,JROD AUTO TRANSPORT,NO DATA,9562278517,Tow Truck Company - Commercial Carrier,3,"1200 S MAIN ST
MCALLEN, TX. 78501
",9/14/2016,006437278C
Allen,JOSE F MEZA,BRONCO WRECKER SERVICE,9567825239,Tow Truck Company,1,"PO BOX 4155
MCALLEN, TX. 78502
",9/15/2013,006481232C
Allen,MCALLEN TRANSPORT LLC DBA  A & J MOTORS,NO DATA,9566688088,Tow Truck Company,0,"4716 N  30TH ST
MCALLEN, TX. 78504
",7/7/2016,005445607C
Allen,ALEXIS SOJO,THIAGO TOWING,2149944118,Tow Truck Company,1,"505  BENTON DR
ALLEN, TX. 75013
",4/12/2017,006519332C
Allen,SOUTH TEXAS TOWING AND RECOVERY,NO DATA,956 380 6569,Tow Truck Company,2,"PO BOX 4155
MCALLEN, TX. 78502
",12/10/2006,005757331C
Allen,MARSHALL ASSET RECOVERY,NO DATA,9568271059,Tow Truck Company,1,"3425  WATER LILLY AVE
MCALLEN, TX. 78504
",4/19/2017,006521382C
Allen,DARKAR INC,ALL-PRO TOWING,2149292249,Tow Truck Company,1,"1633  COLLIN DR
ALLEN, TX. 75002
",8/2/2016,006515288C
Allen,"PAN AMERICAN RECOVERY BUREAU, INC.",NO DATA,9566828631,Tow Truck Company,4,"PO BOX 4049
MCALLEN, TX. 78502
",8/29/2016,005287305C
Allen,23RD QUALITY AUTOS,NO DATA,956-783-6060,Tow Truck Company - Commercial Carrier,3,"5612 N  39TH
MCALLEN, TX. 78504
",8/18/2010,005666119C
Allen,BROKEN ROAD TOWING INC,NO DATA,9562131376,Tow Truck Company - Commercial Carrier,3,"PO BOX 6301
MCALLEN, TX. 78502
",6/30/2015,006415273C
Allen,ALL VALLEY POP A LOCK & TOWING LLC,NO DATA,9569849101,Tow Truck Company - Commercial Carrier,3,"PO BOX 4801
MCALLEN, TX. 78502
",2/2/2017,006451018C
Allen,WEAVER ASSET RECOVERY,C WEAVER ASSET RECOVERY LLC,956 787 2807,Tow Truck Company,4,"2403 N 10TH ST 174 B
MCALLEN, TX. 78501
",6/22/2016,005583289C
Allen,TURBO TOWING SERVICES,TURBO TOWING SERVICES,9562394931,Tow Truck Company,1,"500 N 16TH ST
MCALLEN, TX. 78501
",1/4/2016,006506952C
Allen,SECURED PARKING TOWING LLC,NO DATA,956-844-4553,Tow Truck Company,3,"616 S 16TH ST
MCALLEN, TX. 78501
",4/15/2016,006486815C
Allen,AMERICAN TOWING & RECOVERY,NO DATA,956 783-1004,Tow Truck Company,3,"PO BOX  4155
MCALLEN, TX. 78502
",12/28/2006,005755701C
Allen,BUSY BEZ TOWING LLC,NO DATA,2146592323,Tow Truck Company,6,"190 E STACY RD
ALLEN, TX. 75002
",4/21/2017,006517810C
Allen,"BULL'S EYE ASSET RECOVERY, LLC.",NO DATA,5126655876,Tow Truck Company,2,"PO BOX 720375
MCALLEN, TX. 78504
",1/13/2016,006507281C
Allen,HNOS RODRIGUEZ GUROS INC,NO DATA,956-227-1798,Tow Truck Company - Commercial Carrier,3,"1800 S MAIN ST
MCALLEN, TX. 78503
",6/25/2010,006433205C
Allen,"CURLEY'S TOWING SERVICE, LLC",NO DATA,9566874795,Tow Truck Company,2,"2005 CAMELLIA
MCALLEN, TX. 78501
",5/20/2011,005931578C
Allen,OCHOA TOWING & RECOVERY,OCHOA RECOVERY,956-776-4118,Tow Truck Company,1,"PO BOX 5134
MCALLEN, TX. 78502
",5/1/2017,006462367C
Allen,JORGE VAZQUEZ,A ALEX TOWING & RECOVERY,956 661 1300,Tow Truck Company,1,"3404 N  38TH ST
MCALLEN, TX. 78501
",5/28/2010,006078542C
Allen,CHAVEZ TOWING,NO DATA,956-212-8677,Tow Truck Company,1,"3116 N 24TH AND HALF STREET
MCALLEN, TX. 78501
",6/25/2015,006461486C
Alpine,POWERS AUTOMOTIVE,BUD-N-NITA WRECKER SERVICE,4328373914,Tow Truck Company,1,"P O BOX 1566
ALPINE, TX. 79831
",3/30/2017,006431674C
Alpine,"HIGHLAND AUTOMOTIVE, TOWING, RECOVERY,",HIGHLAND AUTOMOTIVE & TOWING,432 8372523,Tow Truck Company,2,"108 SOUTH HARMON
ALPINE, TX. 79830
",5/7/2016,005030739C
Alpine,ALPINE WRECKER SERVICE,ALPINE WRECKER SERVICE,4324131557,Tow Truck Company,5,"PO BOX 836
ALPINE, TX. 79831
",9/17/2016,006503669C
Alton,JOSE PICAZO,A+ TOWING  & RECOVERY,(956)458-2153,Tow Truck Company,3,"619 N EAGLE PASS ST
ALTON, TX. 78573
",7/13/2016,006513436C
Alvarado,EJ'S TOWING LLC,NO DATA,817-572-0800,Tow Truck Company - Commercial Carrier,2,"2508 JUNIPER TRAIL
ALVARADO, TX. 76009
",8/4/2016,006454310C
Alvarado,"J7 TRUCKING, LLC",NO DATA,817-761-7077,Tow Truck Company,1,"5515 E HIGHWAY 67
ALVARADO, TX. 76009
",4/22/2014,006489388C
Alvarado,TOBYS TOWING & RECOVERY,TOBYS TOWING & RECOVERY,8177837482,Tow Truck Company,2,"100B FM 3136
ALVARADO, TX. 76009
",3/2/2017,006522232C
Alvin,LEE'S USED AUTO PARTS,NO DATA,2813313314,Tow Truck Company - Commercial Carrier,2,"4350 EAST HIGHWAY 6
ALVIN, TX. 77511
",8/9/2011,006437418C
Alvin,LAURA GARCIA,VAS TOWING SERVICE,2816012085,Tow Truck Company,1,"6502  CUSTOM DR
ALVIN, TX. 77511
",6/5/2017,006523383C
Alvin,MERCHANTS WRECKER SERVICE INC,MERCHANTS WRECKER SERVICE,2813314784,Tow Truck Company - Commercial Carrier,6,"618 EAST HWY 6
ALVIN, TX. 77511
",6/27/2017,006424329C
Alvin,CAMEL TOWING & RECOVERY,CAMEL TOWING & RECOVERY,7138570811,Tow Truck Company,4,"1100 FOX MEADOW DR
263
ALVIN, TX. 77511
",2/25/2017,006521672C
Alvin,ALVIN XTREME TOWING SERVICE LLC,LAWRENCE WRECKER SERVICE,281-331-5022,Tow Truck Company,3,"P O BOX 2963
ALVIN, TX. 77512
",6/7/2017,006406287C
Alvin,ALVIN XTREME TOWING SERVICE LLC,LAWRENCE WRECKER SERVICE,281-331-5022,Tow Truck Company,4,"PO BOX 2963
ALVIN, TX. 77512
",6/7/2017,006498034C
Alvin,MERCHANT'S WRECKER SERVICE INC.,MERCHANT'S TOWING,2813306592,Tow Truck Company,2,"618 E HIGHWAY 6
ALVIN, TX. 77511
",6/27/2017,006497193C
Alvin,"WINSTON'S WRECKER SERVICE, INC.",NO DATA,2813316450,Tow Truck Company,2,"12284 C R 283
ALVIN, TX. 77511
",8/7/2014,005007108C
Amarillo,RICKY'S TOWING,RICKY'S TOWING OF AMARILLO LLC,8063717588,Tow Truck Company,1,"PO BOX 9092
AMARILLO, TX. 79105
",2/20/2017,006515528C
Amarillo,"T. MILLER, INC.",NO DATA,8063765384,Tow Truck Company - Commercial Carrier,1,"1201 S JOHNSON
AMARILLO, TX. 79101
",8/1/2016,0000031538
Amarillo,"K3 TOWING, RECOVERY, & TRANSPORT, INC.",NO DATA,806 622 9891,Tow Truck Company,1,"PO BOX 31654
AMARILLO, TX. 79120
",3/11/2017,006301308C
Amarillo,LE'S USED AUTO PARTS & USED CARS LLC,A-1 USED AUTO PARTS & USED CARS,8063812844,Tow Truck Company,1,"4600  GLENN ST
AMARILLO, TX. 79108
",5/12/2017,006486575C
Amarillo,SENOR TOWING LLC,NO DATA,806-282-6472,Tow Truck Company,3,"200 S HAYDEN ST
AMARILLO, TX. 79106
",11/1/2016,006523654C
Amarillo,CANYON TOWING LLC,NO DATA,806-655-3516,Tow Truck Company,7,"4225 NE 9TH AVE
AMARILLO, TX. 79107
",1/8/2017,006494161C
Amarillo,HIGH PLAINS TOWING & RECOVERY INC,NO DATA,806-282-4748,Tow Truck Company,2,"4215 E AMARILLO BLVD
AMARILLO, TX. 79107
",3/29/2017,006523203C
Amarillo,JASON D TUMINELLO,JD TOWING,8068031887,Tow Truck Company,1,"11805  CHAPMAN DR
AMARILLO, TX. 79118
",5/13/2017,006523093C
Amarillo,"JAPHAMATION, LTD",T & V IMPORT CARS,806 373 9202,Tow Truck Company,1,"702 N EASTERN ST
AMARILLO, TX. 79107
",8/23/2016,005989805C
Amarillo,AMARILLO TOWING INC.,NO DATA,8063554650,Tow Truck Company - Commercial Carrier,1,"1105 N MIRROR
AMARILLO, TX. 79107
",9/1/2016,005836089C
Amarillo,SONIC RECOVERY,NO DATA,8062311904,Tow Truck Company,1,"1818  LAWSON LN
AMARILLO, TX. 79106
",4/26/2017,006510523C
Amarillo,EDWARD CANTU JR,TOP OF TEXAS RECOVERY,8063738880,Tow Truck Company,2,"PO BOX 9034
AMARILLO, TX. 79105
",12/14/2016,006461026C
Amarillo,CIERRA TOWING & CRUSHING LLC,NO DATA,8063812561,Tow Truck Company - Commercial Carrier,1,"4225 NE 9TH AVE
AMARILLO, TX. 79107
",1/8/2017,006438078C
Amarillo,COMPETITION TOWING,NO DATA,806-373-5858,Tow Truck Company,7,"4701 E AMARILLO BLVD
AMARILLO, TX. 79107
",11/6/2014,005134630C
Amarillo,SAMPLE AUTO SALES,NO DATA,806-622-0341,Tow Truck Company - Commercial Carrier,1,"10203 SOUTH WESTERN
AMARILLO, TX. 79118
",7/24/2016,006055980C
Ames,BEATTY TOWING & RECOVERY,NO DATA,806-759-9768,Tow Truck Company,2,"1210 NORTH 10TH STREET
LAMESA, TX. 79331
",6/14/2017,006049589C
Ames,AUTOMOTIVE SPECIALTY SHOP,NO DATA,8068728813,Tow Truck Company,1,"1306 N DALLAS
LAMESA, TX. 79331
",1/20/2017,005040720C
Ames,DELAGARZA AUTO,NO DATA,806-872-9382,Tow Truck Company - Commercial Carrier,1,"202 NE 26TH STREET
LAMESA, TX. 79331
",9/11/2013,006401453C
Amherst,"WILLIAM D. JOHNSON, JR.",BULLDOG RECOVERY,806 470 7130,Tow Truck Company,2,"PO BOX 544
AMHERST, TX. 79312
",9/25/2017,006050799C
Anahuac,3 ACES TOWING INC,J & S TOWING,4092673051,Tow Truck Company,3,"104  STATE HIGHWAY 65
ANAHUAC, TX. 77514
",1/25/2017,006494962C
Anahuac,CRISTEN BICKERSTAFF,SOUTHSIDE TOWING & RECOVERY,8325145502,Tow Truck Company,1,"PO BOX 2060
ANAHUAC, TX. 77514
",3/7/2017,006522503C
Anahuac,"3 ACES TOWING, INC.",NO DATA,4092673051,Tow Truck Company - Commercial Carrier,3,"104 HIGHWAY 65
ANAHUAC, TX. 77514
",1/25/2017,006402594C
Anderson,ANDERSON TOWING & RECOVERY,NO DATA,9368735077,Tow Truck Company,1,"4421 ELECTRIC LANE
ANDERSON, TX. 77830
",3/31/2017,005146572C
Andrews,WEST TX ROADRUNNER TOWING WRECKER SERVIC,NO DATA,4326342064,Tow Truck Company,1,"495 NW 3000
ANDREWS, TX. 79714
",6/2/2017,006520801C
Andrews,PAYTON  RONALD MERRICK,MERRICK'S TOWING & RECOVERY,432-664-7596,Tow Truck Company,3,"303 NW 3RD
ANDREWS, TX. 79714
",3/29/2017,005257913C
Andrews,ANDREWS WRECKIN CREW LLC,NO DATA,4323554836,Tow Truck Company,2,"1010 NW 7TH ST
ANDREWS, TX. 79714
",11/5/2016,006479850C
Angleton,ALLIED RECOVERY SERVICES INC.,NO DATA,979-849-6000,Tow Truck Company,5,"700 E MULBERRY ST
ANGLETON, TX. 77515
",3/26/2017,006472514C
Angleton,LUBE-N-TUNE,NO DATA,19798481309,Tow Truck Company,2,"1025 N HWY 288 B
ANGLETON, TX. 77515
",2/8/2014,005062472C
Angleton,EPIPOGIUM GROUP INC,TEXAS TOW,9793082324,Tow Truck Company,4,"PO BOX 1918
ANGLETON, TX. 77516
",10/26/2016,006475196C
Angleton,GARCIA'S WRECKER,NO DATA,979-849-4911,Tow Truck Company,3,"1026 S  VELASCO
ANGLETON, TX. 77515
",5/10/2016,006110675C
Angleton,LESLIE MEYER,MEYER TOWING,9798494081,Tow Truck Company,5,"2625 S VELASCO
ANGLETON, TX. 77515
",5/2/2017,005201967C
Angleton,BILLY COOK,ANGLETON AUTOMOTIVE WRECKER SERVICE,979 848 7096,Tow Truck Company,1,"1111 COUNTY ROAD 428
ANGLETON, TX. 77515
",5/1/2017,005555737C
Angus,*** City Data Not Found ***
Anna,*** City Data Not Found ***
Anson,JEREMY ARCE,ARCE TRUCK AND TRAILER REPAIR,3257253626,Tow Truck Company,1,"3228  US HIGHWAY 277
ANSON, TX. 79501
",9/30/2016,006482461C
Anson,J.D.'S WRECKER SERVICE,NO DATA,3258233633,Tow Truck Company,7,"PO BOX 126
ANSON, TX. 79501
",4/12/2017,005064612C
Anton,DELFS ENTERPRISES LLC,NO DATA,210-249-8193,Tow Truck Company,1,"6506  ECHO FRST
SAN ANTONIO, TX. 78239
",4/3/2017,006521302C
Anton,OSCAR LEAL,LEAL & VEL TOWING,2107897508,Tow Truck Company,1,"1051  LEMON TREE ST
SAN ANTONIO, TX. 78245
",11/3/2016,006517720C
Anton,"DOS'S TOWING SERVICE, INC.",DOC'S TOWING SERVICE,210-394-2581,Tow Truck Company - Commercial Carrier,4,"1721 PLEASANTON  RD
SAN ANTONIO, TX. 78221
",3/16/2017,006407007C
Anton,BEXAR COUNTY TOWING & RECOVERY,BEXAR COUNTY TOWING & RECOVERY,2108458331,Tow Truck Company,1,"927  PALLADIO PL
SAN ANTONIO, TX. 78253
",10/22/2013,006465700C
Anton,RADWAN SHAFIK,RM RECOVERY,210-900-8919,Tow Truck Company,1,"6746  SPRING HOLLOW ST
SAN ANTONIO, TX. 78249
",5/26/2017,006524374C
Anton,"J.J. SHAW, INC.",ADVANCED RECOVERY SOLUTIONS,2103525159,Tow Truck Company,2,"PO BOX 700967
SAN ANTONIO, TX. 78270
",2/1/2017,005633566C
Anton,STARS TOWING LLC,NO DATA,2109939256,Tow Truck Company,2,"4411  GARDENDALE ST
APT 8J
SAN ANTONIO, TX. 78240
",5/13/2017,006525125C
Anton,STEFANIE FASCHINGBAUER,COLLATERAL RECOVERY TEAM LLC,2109227376,Tow Truck Company,7,"12021 NACOGDOCHES
SAN ANTONIO, TX. 78217
",5/11/2017,006446865C
Anton,ADYAN TOWING LLC,NO DATA,2105424818,Tow Truck Company,1,"10226  STONEFIELD PL
SAN ANTONIO, TX. 78254
",6/19/2017,006500696C
Anton,POWERSTROKE TOWING LLC,POWERSTROKE TOWING,2107751487,Tow Truck Company,2,"19141 STONE OAK PKWY
SAN ANTONIO, TX. 78258
",4/13/2017,006465330C
Anton,STRAIGHT SHOT TOWING,STRAIGHT SHOT TOWING,2108828467,Tow Truck Company,2,"24027  CROSSLAND RD
SAN ANTONIO, TX. 78264
",10/21/2015,006504800C
Anton,NORIEGA BROS.,NORIEGA BROS.,2106632184,Tow Truck Company,1,"3427 REFORMA
SAN ANTONIO, TX. 78211
",2/3/2017,006211032C
Anton,JUAN GUAJARDO,D & J AUTO SALES,210-304-0787,Tow Truck Company,1,"4283  VALLEYFIELD ST
SAN ANTONIO, TX. 78222
",2/9/2015,006495162C
Anton,"DIVERSIFIED ASSET RECOVERY SERVICES, INC",DIVERSIFIED RECOVERY,713-551-1914,Tow Truck Company,1,"2136 W W WHITE RD
SAN ANTONIO, TX. 78222
",11/29/2016,006066211C
Anton,GRS TOWING,GRS TOWING,2106010123,Tow Truck Company,1,"6931  SHADY GROVE DR
SAN ANTONIO, TX. 78227
",9/9/2015,006503018C
Anton,BA & W ENTERPRISES INCORPORATED,SPARKLING CITY AUTO AUCTION,2102985477,Tow Truck Company - Commercial Carrier,1,"13510 TOEPPERWEIN ROAD
SAN ANTONIO, TX. 78233
",3/22/2012,006430623C
Anton,RON'S TOWING SERVICE,NO DATA,210 367 2954,Tow Truck Company,1,"12523 LABAHIA
SAN ANTONIO, TX. 78233
",8/17/2016,006022307C
Anton,RAED HAMIDA,NADIA TOWING,2104548217,Tow Truck Company,1,"6427  ENCANTO POINT DR
SAN ANTONIO, TX. 78244
",6/1/2017,006519872C
Anton,STAR WRECKER SERVICE,NO DATA,2105432113,Tow Truck Company,1,"9120 NEW LAREDO HWY
SAN ANTONIO, TX. 78211
",10/22/2014,005353139C
Anton,ANTONIO CABANILLAS,AC TOWING,210-364-0656,Tow Truck Company,1,"914 SUMNER DR
SAN ANTONIO, TX. 78218
",5/25/2014,006450627C
Anton,TERRY SWAN,SWAN'S AUTO,210-288-7705,Tow Truck Company,1,"350  KOPPLOW PL
SAN ANTONIO, TX. 78221
",9/18/2015,006503749C
Anton,BOTELLO'S TOWING SERVICE,BOTELLO'S TOWING SERVICE,2102739559,Tow Truck Company,1,"4215  CHANDLER
SAN ANTONIO, TX. 78222
",3/18/2015,006484023C
Anton,JAMES THOMPSON,THOMPSON TOWING,2103545090,Tow Truck Company,1,"PO BOX 830752
SAN ANTONIO, TX. 78283
",8/15/2016,006515117C
Anton,A & J TOWING,NO DATA,2107244701,Tow Truck Company,7,"7551 VANNESS
SAN ANTONIO, TX. 78251
",8/11/2016,006197361C
Anton,RAM AUTO SERVICE TOWING,RAM AUTO SERVICE TOWING,2103559935,Tow Truck Company,1,"102  KELSEY AVE
SAN ANTONIO, TX. 78211
",4/13/2017,006497874C
Anton,BOSS TOWING,BOSS TOWING,2109736001,Tow Truck Company,2,"12903  NACOGDOCHES RD
SAN ANTONIO, TX. 78217
",2/9/2017,006520501C
Anton,BUDGET TOWING,NORMAN REYNOLDS,8305696624,Tow Truck Company,1,"516 COMMERCE
PLEASANTON, TX. 78064
",7/22/2016,005446357C
Anton,LUIS GARCIA,LMG TOWING COMPANY,2106898913,Tow Truck Company,0,"1915  TURKEY CHASE
SAN ANTONIO, TX. 78264
",5/8/2017,006511254C
Anton,"MV'S TOWING, INC",NO DATA,2106484171,Tow Truck Company,1,"PO BOX 200461
SAN ANTONIO, TX. 78220
",4/19/2016,005520305C
Anton,JNN TOWING AND RECOVERY LLC,JNN TOWING AND RECOVERY,210-420-0576,Tow Truck Company,3,"PO BOX 769397
SAN ANTONIO, TX. 78245
",3/27/2016,006484323C
Anton,"CABANA TOWING, LLC",NO DATA,2105966820,Tow Truck Company,1,"11501  BRAESVIEW
SAN ANTONIO, TX. 78213
",3/15/2017,006501687C
Anton,ALANIS WRECKER SERVICE,NO DATA,2102268858,Tow Truck Company,1,"1035 CULEBRA RD
SAN ANTONIO, TX. 78201
",4/22/2015,005080594C
Anton,JOHNNY'S PAINT & BODY SHOP,NO DATA,830-569-3506,Tow Truck Company,2,"440 FRANKLIN BOULEVARD
PLEASANTON, TX. 78064
",8/21/2015,005060671C
Anton,SVT TOWING & RECOVERY,NO DATA,2108677817,Tow Truck Company,1,"4100 S WW WHITE RD
SAN ANTONIO, TX. 78222
",1/26/2016,006507291C
Anton,CLEMS TOWING & RECOVERY SERVICE,NO DATA,210-872-3415,Tow Truck Company - Commercial Carrier,2,"1406 W OLMOS DR
SAN ANTONIO, TX. 78201
",4/21/2017,006447215C
